Unit,Location,Since,Elapsed H:M:S
BR023,PER LD023,9:48:18,6:06:42
BR024,UNMANNED,15:00:53,0:54:07
EN018,FLEET,9:16:05,6:38:55
EN019,MANPOWER,15:34:37,0:20:23
MD022,MECH,14:39:25,1:15:35
MR011,FLEET,12:55:48,2:59:12
MR025,MECH,8:19:59,7:35:01
PM002,"6150 BURNETT ST, LKN",15:19:12,0:35:48
PM003,"5435 LEWELLYN RD, KAT",14:51:34,1:03:26
SQ007,MECHANICAL,9:35:38,6:19:22
