Unit,Station,StaffingSEC,BusySEC,UHU,UHU Category,Battalion,Call Count
MD009,09 Bartow,28413,6281,0.07,Evaluate for Efficiency,Battalion 6,3
MD016,16 Auburndale,28413,11300,0.13,Evaluate for Efficiency,Battalion 4,4
MD022,22 Gibsonia,28413,10149,0.12,Evaluate for Efficiency,Battalion 1,9
MD029,29 Winter Haven,28413,15953,0.18,Ideal Commitment Range,Battalion 4,6
MD031,31 West Lakeland,28413,12071,0.14,Evaluate for Efficiency,Battalion 1,6
MD032,32 East Lakeland,28413,1576,0.02,Evaluate for Efficiency,Battalion 3,2
MD034,34 South Lakeland,28413,603,0.01,Evaluate for Efficiency,Battalion 3,1
MD209,09 Bartow,28413,17980,0.21,Ideal Commitment Range,Battalion 6,6
MD216,16 Auburndale,28413,17456,0.2,Ideal Commitment Range,Battalion 4,8
MD222,22 Gibsonia,28413,9441,0.11,Evaluate for Efficiency,Battalion 1,6
MD229,29 Winter Haven,28413,18450,0.21,Ideal Commitment Range,Battalion 4,8
MD231,31 West Lakeland,28413,20950,0.24,Ideal Commitment Range,Battalion 1,8
MD232,32 East Lakeland,28413,15763,0.18,Ideal Commitment Range,Battalion 3,6
MD234,34 South Lakeland,28413,15672,0.18,Ideal Commitment Range,Battalion 3,5
MD329,29 Winter Haven,28413,20247,0.23,Ideal Commitment Range,Battalion 4,8
MR002,02 Medulla,28413,8839,0.1,Evaluate for Efficiency,Battalion 6,6
MR005,05 Jan Phyl,28413,17825,0.21,Ideal Commitment Range,Battalion 4,7
MR006,06 Providence,28413,12447,0.14,Evaluate for Efficiency,Battalion 1,5
MR007,07 Polk City,28413,14487,0.17,Ideal Commitment Range,Battalion 2,5
MR010,10 Fort Meade,28413,3236,0.04,Evaluate for Efficiency,Battalion 6,1
MR011,11 West Lake Wales,28413,9135,0.11,Evaluate for Efficiency,Battalion 7,3
MR012,12 East Frostproof,28413,9500,0.11,Evaluate for Efficiency,Battalion 7,4
MR014,14 Nalcrest,28413,12271,0.14,Evaluate for Efficiency,Battalion 7,5
MR015,15 Mulberry,28413,11502,0.13,Evaluate for Efficiency,Battalion 6,3
MR017,17 Eagle Lake,28413,15338,0.18,Ideal Commitment Range,Battalion 4,8
MR018,18 Cypress Gardens,28413,15722,0.18,Ideal Commitment Range,Battalion 4,6
MR020,20 Loughman,28413,9514,0.11,Evaluate for Efficiency,Battalion 2,3
MR023,23 Kathleen,28413,567,0.01,Evaluate for Efficiency,Battalion 1,1
MR024,24 Winston Creek,28413,5259,0.06,Evaluate for Efficiency,Battalion 1,3
MR026,26 Golfview,28413,18094,0.21,Ideal Commitment Range,Battalion 7,5
MR028,28 Highland City,28413,11458,0.13,Evaluate for Efficiency,Battalion 3,4
MR030,30 Haines City,28413,19824,0.23,Ideal Commitment Range,Battalion 5,7
MR035,35 Eaton Park,28413,14698,0.17,Ideal Commitment Range,Battalion 3,4
MR038,38 Cottonwood,28413,15793,0.18,Ideal Commitment Range,Battalion 2,6
MR039,39 Saddlecreek,28413,9563,0.11,Evaluate for Efficiency,Battalion 3,7
MR042,42 Four Corners,28413,9193,0.11,Evaluate for Efficiency,Battalion 2,5
MR045,45 Dundee,28413,18248,0.21,Ideal Commitment Range,Battalion 5,6
MR046,46 Lake Marion Creek,28413,13990,0.16,Ideal Commitment Range,Battalion 5,6
MR202,02 Medulla,28413,8329,0.1,Evaluate for Efficiency,Battalion 6,4
MR218,18 Cypress Gardens,28413,11803,0.14,Evaluate for Efficiency,Battalion 4,4
MR230,30 Haines City,28413,16188,0.19,Ideal Commitment Range,Battalion 5,7
MR239,39 Saddlecreek,28413,10728,0.12,Evaluate for Efficiency,Battalion 3,5
