Unit_ID,Call_No,AGENCY,CALL_TYPE_FINAL,OrigUnit,UNIT_enroute_DATE,PRIORITY,DISPOSITION,PRIMARY_UNIT,BEAT,REP_DIST,CALL_CREATED_TIME,CALL_ENTRY_DATE,CALL_ENTRY_TIME,UNIT_DISPATCH_DATE,UNIT_DISPATCH_TIME,UNIT_ENROUTE_TIME,UNIT_ONSCENE_DATE,UNIT_ONSCENE_TIME,TS_UNIT_TURNOUT,Call#,Call_No2,ArrivalStatus,RptCategory,TurnoutCompliance,BattalionName,Unit Type
EN002,S100000011,PCFR,26A05,EN002,2/9/26 0:00,A1,,MD202,2,F02F,105906,2/9/26 0:00,105940,2/9/26 0:00,110205,110213,2/9/26 0:00,111427,8,S100000011,S100000011,AOS,EMS,Met,Battalion 6,Engine
EN004,S100000012,PCFR,71,EN004,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91451,91546,2/9/26 0:00,92719,55,S100000012,S100000012,AOS,Fire,Met,Battalion 6,Engine
EN005,S100000013,PCFR,68C01,EN005,2/9/26 0:00,C1,UTL,EN005,16,F560G,105656,2/9/26 0:00,105722,2/9/26 0:00,105941,110000,2/9/26 0:00,111004,19,S100000013,S100000013,AOS,Fire,Met,Battalion 4,Engine
EN005,S100000014,PCFR,17A04G,EN005,2/9/26 0:00,A1,COM,MR005,5,F05C,100734,2/9/26 0:00,100749,2/9/26 0:00,100816,100820,2/9/26 0:00,101648,4,S100000014,S100000014,AOS,EMS,Met,Battalion 4,Engine
EN006,S100000015,PCFR,26A08,EN006,2/9/26 0:00,A1,COM,MR006,6,F06A,81111,2/9/26 0:00,81239,2/9/26 0:00,81309,81329,2/9/26 0:00,82959,20,S100000015,S100000015,AOS,EMS,Met,Battalion 1,Engine
EN006,S100000016,PCFR,01C05,EN006,2/9/26 0:00,C1,,MR006,6,F06A,103952,2/9/26 0:00,104027,2/9/26 0:00,104057,104110,2/9/26 0:00,105143,13,S100000016,S100000016,AOS,EMS,Met,Battalion 1,Engine
EN006,S100000017,PCFR,53A02,EN006,2/9/26 0:00,A1,COM,EN006,6,F06A,110225,2/9/26 0:00,110301,2/9/26 0:00,110334,110339,2/9/26 0:00,111148,5,S100000017,S100000017,AOS,Other,N/A,Battalion 1,Engine
EN006,S100000018,PCFR,53A02,EN006,2/9/26 0:00,A1,COM,EN006,6,F06A,110225,2/9/26 0:00,110301,2/9/26 0:00,110334,110339,2/9/26 0:00,111148,5,S100000018,S100000018,AOS,Other,N/A,Battalion 1,Engine
EN010,S100000019,PCFR,21A01T,EN010,2/9/26 0:00,A1,COM,MR010,10,F10B,91435,2/9/26 0:00,91457,2/9/26 0:00,91536,91539,2/9/26 0:00,93419,3,S100000019,S100000019,AOS,EMS,Met,Battalion 6,Engine
EN012,S100000020,PCFR,26D01,EN012,2/9/26 0:00,D1,COM,MR012,12,F930E,90110,2/9/26 0:00,90149,2/9/26 0:00,90216,90351,2/9/26 0:00,90823,95,S100000020,S100000020,AOS,EMS,Missed,Battalion 7,Engine
EN017,S100000021,PCFR,26A08,EN017,2/9/26 0:00,A1,COM,MR017,17,F17C,80332,2/9/26 0:00,80408,2/9/26 0:00,80458,80516,2/9/26 0:00,81300,18,S100000021,S100000021,AOS,EMS,Met,Battalion 4,Engine
EN017,S100000022,PCFR,OOS,EN017,2/9/26 0:00,OS,,EN017,,,102047,2/9/26 0:00,102047,2/9/26 0:00,102047,102047,2/9/26 0:00,102047,0,S100000022,S100000022,AOS,Omit,,Battalion 4,Engine
EN028,S100000023,PCFR,17A04,EN028,2/9/26 0:00,A1,COM,MR028,28,F34G,90917,2/9/26 0:00,90942,2/9/26 0:00,91033,91108,2/9/26 0:00,91952,35,S100000023,S100000023,AOS,EMS,Met,Battalion 3,Engine
EN033,S100000024,PCFR,06D02O,EN033,2/9/26 0:00,D1,COM,MR033,33N,F33A,91727,2/9/26 0:00,91748,2/9/26 0:00,91823,91829,2/9/26 0:00,92634,6,S100000024,S100000024,AOS,EMS,Met,Battalion 2,Engine
EN035,S100000025,PCFR,31A01,EN035,2/9/26 0:00,A1,COM,MR035,35N,F28E,94045,2/9/26 0:00,94111,2/9/26 0:00,94128,94216,2/9/26 0:00,95014,48,S100000025,S100000025,AOS,EMS,Met,Battalion 3,Engine
EN036,S100000026,PCFR,26A08,EN036,2/9/26 0:00,A1,,MR036,36,F560F,103257,2/9/26 0:00,103410,2/9/26 0:00,103438,103449,2/9/26 0:00,104624,11,S100000026,S100000026,AOS,EMS,Met,Battalion 2,Engine
EN036,S100000027,PCFR,28C01J,EN036,2/9/26 0:00,C1,COM,MD216,16,F560G,83854,2/9/26 0:00,83930,2/9/26 0:00,83958,84058,2/9/26 0:00,85049,60,S100000027,S100000027,AOS,EMS,Met,Battalion 2,Engine
